imageId,image_file,question,answer,fullAnswer,blip_response
n541688,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n541688.png,Is the person in front of the table small and blond?,yes,"Yes, the boy is small and blond.","yes, a young girl with a tooth brush"
n290409,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n290409.png,What is the color of the basket that the truck is in front of?,light blue,The basket is light blue.,white
n223750,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n223750.png,Which kind of clothing is gray?,dress,The clothing is a dress.,a dress
n100991,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n100991.png,Is the cup made of glass?,no,"No, the cup is made of plastic.",no
n496803,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n496803.png,Are there any athletes to the left of the person that is bigger than the sneakers?,yes,"Yes, there is an athlete to the left of the person.",no
n39114,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n39114.png,On which side of the image is the bench?,left,The bench is on the left of the image.,right side
n184551,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n184551.png,What is the man covered by?,umbrella,The man is covered by the umbrella.,an umbrella
n263180,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n263180.png,Where is this?,road,This is at the road.,in a city
n413319,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n413319.png,Do the socks and the shorts have the same color?,yes,"Yes, both the socks and the shorts are white.",no
n184551,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n184551.png,Is the person to the left of the bag covered by an umbrella?,yes,"Yes, the man is covered by an umbrella.",no
n184551,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n184551.png,What is the man on?,steps,The man is on the steps.,a step
n184551,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n184551.png,Who is on the steps?,man,The man is on the steps.,two people
n472825,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n472825.png,Is the staircase below a snowboarder?,no,"No, the staircase is below a skateboarder.",no
n367944,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n367944.png,Is the device to the right of the bag white and open?,yes,"Yes, the laptop is white and open.",yes
n302387,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n302387.png,What is this suitcase on?,rug,The suitcase is on the rug.,it is on a rug
n302387,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n302387.png,What is the suitcase on?,rug,The suitcase is on the rug.,a rug
n143935,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n143935.png,What is the pasture surrounded by?,trees,The pasture is surrounded by the trees.,a house
n250715,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n250715.png,Is the large chair to the right or to the left of the controller?,right,The chair is to the right of the controller.,to the right
n143935,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n143935.png,Is there a giraffe or a cow in the picture?,yes,"Yes, there is a cow.",no
n234683,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n234683.png,Who is in front of the frame made of wood?,man,The man is in front of the frame.,a man
n289376,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n289376.png,What place is shown?,lawn,It is a lawn.,a park
n315859,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n315859.png,What is the shape of the windows?,square,The windows are square.,rectangular
n289376,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n289376.png,What type of weather do you see?,cloudy,It is cloudy.,rain
n234683,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n234683.png,Is the fat man behind the plain wall?,no,"No, the man is in front of the wall.",no
n534106,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n534106.png,What is the item of furniture called?,couch,The piece of furniture is a couch.,couch
n314630,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n314630.png,What appliance is the paper towel reflected in?,toaster,The paper towel is reflected in the toaster.,a microwave
n513100,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n513100.png,What is the bird standing on top of?,table,The bird is standing on top of the table.,a table
n525029,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n525029.png,Is there a bus in this image?,no,"No, there are no buses.",no
n551964,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n551964.png,Is the person to the left of the motorcycle wearing jeans?,yes,"Yes, the man is wearing jeans.",no
n250821,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n250821.png,What animal is the man watching?,cat,The man is watching the cat.,cat
n206358,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n206358.png,What place is this picture in?,sidewalk,It is at the sidewalk.,a city
n79078,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n79078.png,Is the shirt red?,no,"No, the shirt is gray.",no
n363445,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n363445.png,What is the food container made of?,plastic,The food container is made of plastic.,plastic
n363445,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n363445.png,What is on the table made of wood?,food container,The food container is on the table.,a lunch box
n398257,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n398257.png,What kind of device is made of the same material as the device above the desk?,computer monitor,The computer monitor is made of the same material as the keyboard.,computer
n363445,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n363445.png,What's on the table?,food container,The food container is on the table.,a lunch box
n363445,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n363445.png,What is the food container on?,table,The food container is on the table.,a table
n433692,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n433692.png,"What shape is the mousepad, square or round?",square,The mousepad is square.,square
n481655,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n481655.png,Is the catcher to the left or to the right of the person in the middle?,left,The catcher is to the left of the batter.,to the right
n570181,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n570181.png,Does the shirt made of cotton look orange?,no,"No, the shirt is blue.",no
n125122,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n125122.png,What is the shape of the television on top of the desk?,rectangular,The TV is rectangular.,rectangular
n386688,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n386688.png,In front of what is the ocean?,trees,The ocean is in front of the trees.,a large airplane
n125122,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n125122.png,What is the device on top of the desk that is to the right of the bed called?,television,The device is a television.,a television
n313060,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n313060.png,Is the short person behind the purse that is made of leather?,yes,"Yes, the woman is behind the purse.",no
n187961,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n187961.png,Is the kid small and happy?,yes,"Yes, the kid is small and happy.",yes
n86120,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n86120.png,What animal is this woman petting?,goats,The woman is petting the goats.,a cow
n14087,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n14087.png,Are the ornaments hanging from the green tree?,yes,"Yes, the ornaments are hanging from the tree.",no
n14087,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n14087.png,What are the ornaments made of glass hanging from?,tree,The ornaments are hanging from the tree.,the tree
n272098,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n272098.png,Who is holding the open container?,woman,The woman is holding the box.,a girl
n382416,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n382416.png,What is the cabinet made of?,glass,The cabinet is made of glass.,glass
n272098,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n272098.png,Is she wearing a skirt?,no,"No, the woman is wearing a coat.",no
n541482,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n541482.png,What color is the cotton sweater?,black,The sweater is black.,brown
n400036,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n400036.png,How big is the soccer ball that the woman is kicking?,small,The soccer ball is small.,a soccer ball is about the size of a basketball
n347706,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n347706.png,Are there any cars or bags?,no,"No, there are no cars or bags.",no
n210269,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n210269.png,How big are the horses?,large,The horses are large.,they are small
n199097,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n199097.png,Which color is the jacket the man is wearing?,black,The jacket is black.,black
n527290,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n527290.png,What color is the chair on top of the floor?,gray,The chair is gray.,brown
n446242,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n446242.png,What color does the mirror the picture is to the left of have?,silver,The mirror has silver color.,white
n280089,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n280089.png,What kind of appliance is the bowl sitting on top of?,stove,The bowl is sitting on top of the stove.,stove
n195925,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n195925.png,The bridge is in front of what?,mountain,The bridge is in front of the mountain.,a boat
n195925,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n195925.png,What is the bridge in front of?,mountain,The bridge is in front of the mountain.,a boat
n167552,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n167552.png,Does that rug look red?,yes,"Yes, the rug is red.","no, it looks green"
n513429,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n513429.png,What is the bottle in front of?,bowl,The bottle is in front of the bowl.,a computer
n513429,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n513429.png,What's the bottle in front of?,bowl,The bottle is in front of the bowl.,a computer
n541482,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n541482.png,What color does the kite have?,purple,The kite has purple color.,white
n70461,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n70461.png,What do you think are the busy people watching?,train,The people are watching the train.,the train
n498712,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n498712.png,Who is the girl in front of?,woman,The girl is in front of the woman.,a girl
n92308,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n92308.png,What is the dog doing?,playing,The dog is playing.,walking on the beach
n514467,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n514467.png,Which kind of material is the wet sidewalk made of?,concrete,The side walk is made of cement.,concrete
n513429,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n513429.png,Are there any bottles or cups that are made of plastic?,no,"No, there is a bottle but it is made of glass.",yes
n499081,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n499081.png,How big is the silver mirror?,small,The mirror is small.,it is very large
n488874,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n488874.png,What kind of watercraft is colorful?,boats,The watercraft is boats.,boats
n66756,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n66756.png,Do you think the batter is heavy?,yes,"Yes, the batter is heavy.","no, he is light"
n488874,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n488874.png,Which kind of watercraft is scattered?,boats,The watercraft is boats.,boats
n488874,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n488874.png,What type of watercraft is shown in the photograph?,boats,The watercraft is boats.,boat
n488874,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n488874.png,What kind of watercraft is it?,boats,The watercraft is boats.,boat
n257997,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n257997.png,Who is in front of the trees?,crowd,The crowd is in front of the trees.,a man
n257997,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n257997.png,What is the crowd in front of?,trees,The crowd is in front of the trees.,a man catching a frisbee
n257997,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n257997.png,What's the crowd in front of?,trees,The crowd is in front of the trees.,a man catching a frisbee
n523165,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n523165.png,Is the tall man near the rope wearing glasses?,no,"No, the man is wearing shorts.",no
n523165,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n523165.png,What is the man looking at?,kite,The man is looking at the kite.,a kite
n257997,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n257997.png,Who is in front of the trees that are not short?,crowd,The crowd is in front of the trees.,a man
n523165,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n523165.png,What is the tall man looking at?,kite,The man is looking at the kite.,kites
n257997,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n257997.png,Is the crowd in front of the tall trees?,yes,"Yes, the crowd is in front of the trees.",yes
n507959,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n507959.png,Does the guitar have a different color than the pole?,no,"No, both the guitar and the pole are black.",yes
n77818,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n77818.png,What is the name of the piece of furniture that is made of the same material as the pepper grinder on the right?,entertainment center,The piece of furniture is an entertainment center.,the tv stand
n293477,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n293477.png,What food is to the left of the hair clip?,snack,The food is a snack.,a bag of chips
n77818,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n77818.png,Is the entertainment center made of the same material as the pepper grinder?,yes,"Yes, both the entertainment center and the pepper grinder are made of wood.","no, it's made of wood"
n488874,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n488874.png,Which color is the dirt?,dark brown,The dirt is dark brown.,white
n293477,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n293477.png,Is the black food to the left of the wallet that is lying on top of the bed?,yes,"Yes, the snack is to the left of the wallet.",no
n295771,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n295771.png,Do you see doors that are green?,no,"No, there is a door but it is white.","no, they are white"
n46510,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n46510.png,What is in front of the building near the streetlight?,palm tree,The palm tree is in front of the building.,a sign
n46510,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n46510.png,What is in front of the building?,palm tree,The palm tree is in front of the building.,a sign
n572716,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n572716.png,Is the mountain different in color than the jet?,yes,"Yes, the mountain is green and the jet is white.",no
n216553,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n216553.png,How big is the bag?,large,The bag is large.,it is small
n572716,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n572716.png,What is common to the building and the crane?,color,"The color, both the building and the crane are red.",they are both white
n296467,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n296467.png,"What size is the food that is not thin, small or large?",small,The dip is small.,large
n319845,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n319845.png,Are the glass windows open or closed?,closed,The windows are closed.,open
n309148,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n309148.png,Is the sticker in front of the fire truck that looks white and red?,yes,"Yes, the sticker is in front of the fire truck.",yes
n534106,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n534106.png,Are there cones or mirrors?,no,"No, there are no mirrors or cones.",no
n411121,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n411121.png,What is the name of the vehicle in front of the old building?,van,The vehicle is a van.,a bicycle
n319845,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n319845.png,Are there skateboards or cabinets in the image?,no,"No, there are no skateboards or cabinets.",no
n28572,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n28572.png,Is the chair on the left side?,yes,"Yes, the chair is on the left of the image.",no
n54424,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n54424.png,Is the boy to the left or to the right of the pillow that looks square?,left,The boy is to the left of the pillow.,to the right
n222915,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n222915.png,Are there either apples or bananas that are not brown?,no,"No, there are apples but they are brown.",no
n95313,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n95313.png,What item of furniture is covered?,chair,The piece of furniture is a chair.,a bed
n400036,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n400036.png,Which color are the trees next to the cars?,green,The trees are green.,green
n207708,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n207708.png,On which side is the drawer?,right,The drawer is on the right of the image.,on the right side
n95313,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n95313.png,Which kind of furniture is not metallic?,bookshelf,The furniture is a bookshelf.,wood
n295771,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n295771.png,Does the door look white and clear?,yes,"Yes, the door is white and clear.",yes
n131634,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n131634.png,What type of vehicle is made of the same material as the motorbike that is parked along the sidewalk?,car,The car is made of the same material as the motorbike.,a car
n202379,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n202379.png,Are the white socks tall or short?,tall,The socks are tall.,short
n334278,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n334278.png,What is the batter looking at?,baseball,The batter is looking at the baseball.,the ball
n131634,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n131634.png,Are both the door and the mirror made of the same material?,yes,"Yes, both the door and the mirror are made of glass.",no
n334278,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n334278.png,Is the person to the left of the baseball wearing a helmet?,no,"No, the batter is wearing a uniform.",no
n334278,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n334278.png,Who is looking at the baseball?,batter,The batter is looking at the baseball.,a catcher
n351318,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n351318.png,Are there any chickens or chairs in the picture?,no,"No, there are no chairs or chickens.",no
n518912,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n518912.png,What ethnic group is the person that is wearing a jacket?,caucasian,The man is caucasian.,irish
n275148,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n275148.png,Are there either any pictures or speakers in the picture?,yes,"Yes, there is a speaker.",yes
n548534,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n548534.png,Which kind of furniture is brown?,cabinets,The furniture is cabinets.,kitchen
n450919,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n450919.png,"Which animal is this, a giraffe or a monkey?",giraffe,This is a giraffe.,giraffe
n275148,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n275148.png,Is the storage box that is made of metal empty and black?,no,"No, the storage box is black but full.",no
n406334,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n406334.png,Are the old people on the left or on the right?,right,The people are on the right of the image.,the right
n16425,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n16425.png,Which kind of vehicle is blue?,bus,The vehicle is a bus.,bus
n413002,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n413002.png,Do the pants look long and yellow?,no,"No, the pants are long but red.",no
n16425,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n16425.png,Which color is the bus to the right of the other bus?,blue,The bus is blue.,blue
n229548,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n229548.png,How is the weather?,cloudy,It is cloudy.,is it sunny?
n511913,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n511913.png,Is the woman that is not sad brunette and young?,no,"No, the woman is young but blond.",yes
n4777,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n4777.png,What is the paper container sitting on top of?,table,The paper container is sitting on top of the table.,a laptop
n200907,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n200907.png,What is in front of the sturdy fence?,pole,The pole is in front of the fence.,a tennis court
n150962,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n150962.png,Is the pot to the right or to the left of the chair?,right,The pot is to the right of the chair.,to the right
n311910,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n311910.png,What sign is made of metal?,street sign,The sign is a street sign.,the sign is made of metal
n311910,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n311910.png,What is the name of the metal sign?,street sign,The sign is a street sign.,a bus
n311910,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n311910.png,What sign is white?,street sign,The sign is a street sign.,the bus stop sign
n296467,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n296467.png,Do you think that container is closed?,yes,"Yes, the container is closed.","no, it's open"
n489699,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n489699.png,The female kid to the right of the helmet is standing where?,ground,The child is standing on the ground.,on the skis
n16378,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n16378.png,Who is the luggage cart pulled by?,woman,The luggage cart is pulled by the woman.,a man
n154856,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n154856.png,What is in front of the silver car?,van,The van is in front of the car.,a bench
n460385,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n460385.png,What piece of furniture is the plant on?,shelf,The plant is on the shelf.,a table
n278312,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n278312.png,Is the oven to the left of the bread on the counter?,yes,"Yes, the oven is to the left of the bread.",yes
n489699,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n489699.png,Who is wearing pants?,child,The child is wearing pants.,no one
n489699,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n489699.png,Who is wearing the pants?,child,The child is wearing pants.,the man
n489699,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n489699.png,The kid that is not male is wearing what?,pants,The child is wearing pants.,a red jacket
n16378,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n16378.png,What is pulled by the woman that is not sad?,luggage cart,The luggage cart is pulled by the woman.,a bag
n489699,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n489699.png,Is the female child wearing jeans?,no,"No, the child is wearing pants.",no
n566028,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n566028.png,Is the person that is looking down wearing a coat?,no,"No, the person is wearing a shirt.",no
n195249,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n195249.png,Who is standing?,woman,The woman is standing.,a woman
n95904,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n95904.png,Are there any briefcases or backpacks that are not blue?,no,"No, there is a backpack but it is blue.",no
n206785,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n206785.png,Are there both windows and doors in this image?,no,"No, there is a door but no windows.",yes
n249639,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n249639.png,Is the trashcan below a nightstand?,no,"No, the trashcan is below a mirror.",no
n259002,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n259002.png,Who runs on the grass?,soccer player,The soccer player runs on the grass.,the soccer players
n259002,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n259002.png,Who runs on the green grass underneath the ball?,soccer player,The soccer player runs on the grass.,the soccer players
n310828,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n310828.png,What kind of furniture is the laptop on?,computer desk,The laptop is on the computer desk.,desk
n164272,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n164272.png,How tall is the grass?,tall,The grass is tall.,it is very tall
n470920,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n470920.png,What do you think is covering the man that is wearing jeans?,jacket,The jacket is covering the man.,a hood
n164272,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n164272.png,Is there any grass in the picture that is not tall?,no,"No, there is grass but it is tall.",no
n51002,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n51002.png,Does the device under the artwork seem to be off or on?,off,The TV is off.,on
n280089,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n280089.png,Which kind of appliance are the jars sitting on top of?,stove,The jars are sitting on top of the stove.,stove
n398257,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n398257.png,What kind of furniture is under the keyboard?,desk,The piece of furniture is a desk.,a chair
n290409,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n290409.png,What is the logo in front of?,truck,The logo is in front of the truck.,gmc
n90944,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n90944.png,Are the buildings behind the trees large or small?,small,The buildings are small.,large
n513429,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n513429.png,What is the monitor in front of?,poster,The monitor is in front of the poster.,a laptop
n90944,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n90944.png,What is in front of the sky?,buildings,The buildings are in front of the sky.,a city
n200225,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n200225.png,"Which is healthier, the pizza or the spinach?",spinach,The spinach is healthier than the pizza.,spinach
n314630,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n314630.png,How big is the house?,tiny,The house is tiny.,it is small
n413002,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n413002.png,Is there a child to the right of the backpack on the left?,no,"No, there is an elephant to the right of the backpack.",no
n413002,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n413002.png,What animal is standing on the ground?,elephant,The animal is an elephant.,a teddy bear
n413002,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n413002.png,What is the animal that is standing on the ground?,elephant,The animal is an elephant.,a teddy bear
n566028,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n566028.png,Do you think the person above the skateboard is male or female?,male,The person is male.,male
n554880,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n554880.png,The person near the gift is holding what?,cell phone,The man is holding the cell phone.,a snowboard
n357784,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n357784.png,What is the animal in front of the mirror?,cat,The animal is a cat.,a cat
n410476,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n410476.png,Are there either any giraffes or bears that are not dark brown?,no,"No, there is a giraffe but it is dark brown.",no
n554880,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n554880.png,Which kind of device is the man holding?,cell phone,The man is holding the cellphone.,snowboard
n65885,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n65885.png,What is around the teddy bear?,tie,The tie is around the teddy bear.,carpet
n554880,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n554880.png,What's the man holding?,cell phone,The man is holding the cell phone.,a snowboard
n460556,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n460556.png,Does the hat have large size and red color?,yes,"Yes, the hat is large and red.",no
n460556,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n460556.png,Are there any gloves or hats that are not large?,no,"No, there is a hat but it is large.",no
n12214,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n12214.png,Are there cars to the right of the skateboard?,no,"No, the car is to the left of the skateboard.",no
n51658,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n51658.png,Who is watching the person that is holding onto the tennis racket?,people,The people are watching the man.,the crowd
n51658,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n51658.png,Do you see any blinds behind the standing person that is wearing a wrist band?,no,"No, there are people behind the man.",no
