imageId,image_file,question,answer,fullAnswer,smolvlm_response
n159802,/content/drive/MyDrive/mmml_project/gqa_images/n159802.png,What is the Asian person near the water bottle wearing?,dress shirt,The man is wearing a dress shirt.,"a bow?
No, the Asian person is not wearing a bow."
n159802,/content/drive/MyDrive/mmml_project/gqa_images/n159802.png,What is the man wearing?,dress shirt,The man is wearing a dress shirt.,1. 2. 3. 4. 5. 6. 7
n67005,/content/drive/MyDrive/mmml_project/gqa_images/n67005.png,Which kind of furniture is fluffy?,bed,The furniture is a bed.,the bed?  or the pillows?  or both?  or none?  or other?
n525901,/content/drive/MyDrive/mmml_project/gqa_images/n525901.png,What is the pen made of?,plastic,The pen is made of plastic.,"Paper.
Plastic.
Wood.
Metal.
Other.
Answer: Paper"
n525901,/content/drive/MyDrive/mmml_project/gqa_images/n525901.png,What is located on top of the white paper?,pen,The pen is on top of the paper.,a laptop? 2 pens? 1 pen? 2 pens and a laptop? 1
n433532,/content/drive/MyDrive/mmml_project/gqa_images/n433532.png,"What color is the hair, gray or red?",gray,The hair is gray.,"51 is on the bottle. What is the number on the bottle?

51 is"
n525901,/content/drive/MyDrive/mmml_project/gqa_images/n525901.png,What material is the pen?,plastic,The pen is made of plastic.,"a. plastic
b. metal
c. wood
d. paper
e. plastic"
n100991,/content/drive/MyDrive/mmml_project/gqa_images/n100991.png,Do you see any waffles to the left of the fork?,yes,"Yes, there are waffles to the left of the fork.",Yes there are waffles to the left of the fork.
n290409,/content/drive/MyDrive/mmml_project/gqa_images/n290409.png,Is the truck in front of the basket?,yes,"Yes, the truck is in front of the basket.","No.
Is the truck in front of the house?
No.
Is the truck"
n119944,/content/drive/MyDrive/mmml_project/gqa_images/n119944.png,What color is the large animal?,dark brown,The elephant is dark brown.,"Black.

Elephant.

Elephant.

Elephant."
n49310,/content/drive/MyDrive/mmml_project/gqa_images/n49310.png,Are the sweater and the black dress shirt both long sleeved?,yes,"Yes, both the sweater and the dress shirt are long sleeved.",Yes or No? Yes.  No.  No.  Yes.  No.  No
n146522,/content/drive/MyDrive/mmml_project/gqa_images/n146522.png,"What makes up the jacket, cloth or leather?",cloth,The jacket is made of cloth.,plaid? plaid? plaid? plaid? plaid? plaid? plaid
n480253,/content/drive/MyDrive/mmml_project/gqa_images/n480253.png,Is the car to the left or to the right of the vehicle that is parked along the street?,right,The car is to the right of the fire truck.,The car is parked to the left of the vehicle that is parked along the street.  The
n489190,/content/drive/MyDrive/mmml_project/gqa_images/n489190.png,Who wears a knee pad?,skateboarder,The skateboarder wears a knee pad.,The person on the skateboard. 2. The person on the skateboard. 3.
n489190,/content/drive/MyDrive/mmml_project/gqa_images/n489190.png,Who is wearing a helmet?,skateboarder,The skateboarder is wearing a helmet.,The skateboarder. 2. The person in the background. 3. The person in
n489190,/content/drive/MyDrive/mmml_project/gqa_images/n489190.png,Who is wearing the helmet?,skateboarder,The skateboarder is wearing a helmet.,The skateboarder. 2. 3. 4. 5. 6.
n489190,/content/drive/MyDrive/mmml_project/gqa_images/n489190.png,Who is skating on the skateboard?,skateboarder,The skateboarder is skating on the skateboard.,A man. 2. 3. 4. 5. 6. 7
n489190,/content/drive/MyDrive/mmml_project/gqa_images/n489190.png,Who is wearing a knee pad?,skateboarder,The skateboarder is wearing a knee pad.,the skateboarder or the person in the background? Answer: the skateboarder.
n49310,/content/drive/MyDrive/mmml_project/gqa_images/n49310.png,Does the striped sweater look long sleeved and black?,no,"No, the sweater is long sleeved but white.",or short sleeved and red?  or long sleeved and white?  or short slee
n501951,/content/drive/MyDrive/mmml_project/gqa_images/n501951.png,Is the driver in the photo wearing a helmet?,yes,"Yes, the driver is wearing a helmet.",Yes or No?  Answer: Yes.  Answer: No.  Answer: Yes.
n119944,/content/drive/MyDrive/mmml_project/gqa_images/n119944.png,Is the fat woman to the right of an elephant?,yes,"Yes, the woman is to the right of an elephant.","Yes.
Is the woman sitting on a bench? Yes.
Is the woman holding a basket"
n240973,/content/drive/MyDrive/mmml_project/gqa_images/n240973.png,Which kind of furniture are the shelves sitting on top of?,desk,The shelves are sitting on top of the desk.,"A desk
B table
C counter
D none of these"
n240973,/content/drive/MyDrive/mmml_project/gqa_images/n240973.png,What type of furniture is above the newspaper that looks red and white?,shelves,The pieces of furniture are shelves.,"A. Desk
B. Shelf
C. Bookcase
D. Countertop"
n335542,/content/drive/MyDrive/mmml_project/gqa_images/n335542.png,Is the bear that is to the left of the other bear long and white?,no,"No, the bear is long but brown.",Yes or No?  No.  Yes.  No.  Yes.  No.
n234722,/content/drive/MyDrive/mmml_project/gqa_images/n234722.png,What kind of food is not tasty?,sausage,The food is a sausage.,Junk food?  Pizza?  Hot dog?  Taco?  Sushi
n234722,/content/drive/MyDrive/mmml_project/gqa_images/n234722.png,Which type of food is not tasty?,sausage,The food is a sausage.,the pizza or the jalapeno peppers? Answer: jalapeno peppers.
n540852,/content/drive/MyDrive/mmml_project/gqa_images/n540852.png,"Where in the photograph is the umbrella, in the top or in the bottom?",top,The umbrella is in the top of the image.,The umbrella is in the bottom of the photograph.
n208302,/content/drive/MyDrive/mmml_project/gqa_images/n208302.png,Is the weather cloudy?,yes,"Yes, it is cloudy.",Yes.
n19152,/content/drive/MyDrive/mmml_project/gqa_images/n19152.png,Which place is this?,sidewalk,It is a sidewalk.,Crosville? Handoridge? Lache? Saltney? 16? 1
n556604,/content/drive/MyDrive/mmml_project/gqa_images/n556604.png,Does the smooth table have brown color?,no,"No, the table is white.","Yes or no? 
No. The table is white. 
No. The table is"
n200225,/content/drive/MyDrive/mmml_project/gqa_images/n200225.png,What is the name of the food that is on the food with the spinach?,sausage,The food is a sausage.,Pizza.  Pizza is a type of food.  The food is pizza.
n200225,/content/drive/MyDrive/mmml_project/gqa_images/n200225.png,What food is on the pizza?,sausage,The food is a sausage.,"Pepperoni, olives, peppers and onions?"
n574498,/content/drive/MyDrive/mmml_project/gqa_images/n574498.png,Is the man to the left of a ball?,yes,"Yes, the man is to the left of a ball.",Yes. No. Answer: Yes. Answer: No. Answer: Yes. Answer: No.
n527290,/content/drive/MyDrive/mmml_project/gqa_images/n527290.png,Is she to the right of the couch that is to the left of the television?,no,"No, the woman is to the left of the couch.","Yes. 
  No. 
  No. 
  Yes. 
  No."
n393305,/content/drive/MyDrive/mmml_project/gqa_images/n393305.png,Is the traffic sign behind the girl octagonal and red?,yes,"Yes, the traffic sign is octagonal and red.",Yes.
n272313,/content/drive/MyDrive/mmml_project/gqa_images/n272313.png,What is the color of the long pants?,brown,The pants are brown.,beige?  Yes.  No.  No.  Yes.  No.  No
n119944,/content/drive/MyDrive/mmml_project/gqa_images/n119944.png,How hard are the brown sandals?,hard,The sandals are hard.,They are not hard. They are soft.
n275148,/content/drive/MyDrive/mmml_project/gqa_images/n275148.png,What is the color of the picture frame which is hanging from the wall?,black,The picture frame is black.,White.
n508733,/content/drive/MyDrive/mmml_project/gqa_images/n508733.png,Who is in front of the window frame that looks light brown?,women,The women are in front of the window frame.,A woman is sitting at the table.
n199286,/content/drive/MyDrive/mmml_project/gqa_images/n199286.png,What is the color of the shorts made of cloth?,dark,The shorts are dark.,"Black.

The shorts are made of cloth.

The shorts are made of"
n508733,/content/drive/MyDrive/mmml_project/gqa_images/n508733.png,Who is wearing a shirt?,women,The women are wearing a shirt.,The woman or the man? Answer: Woman.
n477702,/content/drive/MyDrive/mmml_project/gqa_images/n477702.png,Is the shirt made of cotton short sleeved and gray?,no,"No, the shirt is short sleeved but dark.",Yes or No?  No.  Yes.  No.  Yes.  No.
n199286,/content/drive/MyDrive/mmml_project/gqa_images/n199286.png,Are both the shorts and the black leggings made of cloth?,yes,"Yes, both the shorts and the leggings are made of cloth.","No, shorts are made of cloth and leggings are made of fabric.
No,"
n219840,/content/drive/MyDrive/mmml_project/gqa_images/n219840.png,What kind of animal is beautiful?,deer,The animal is a deer.,zebra?  deer?  or deer?  or deer?  or deer?  or deer
n578564,/content/drive/MyDrive/mmml_project/gqa_images/n578564.png,Is the cooking utensil in front of the window blue and metallic?,yes,"Yes, the pan is blue and metallic.","Yes, it is."
n450919,/content/drive/MyDrive/mmml_project/gqa_images/n450919.png,What is the height of the green grass near the mud?,short,The grass is short.,The height of the green grass near the mud cannot be determined from the image.
n282607,/content/drive/MyDrive/mmml_project/gqa_images/n282607.png,What does the man hold?,racket,The man holds the racket.,tennis racket and ball?  Yes or No.  Yes.  No.  No.
n58220,/content/drive/MyDrive/mmml_project/gqa_images/n58220.png,Is the water wavy?,no,"No, the water is calm.",No.  Is the bridge in the background? Yes.  Is the man smiling? Yes.
n118102,/content/drive/MyDrive/mmml_project/gqa_images/n118102.png,Is the round cake to the right of the young girl?,yes,"Yes, the cake is to the right of the girl.",Yes or no. No. 2. 3. 4. 5. 6
n411121,/content/drive/MyDrive/mmml_project/gqa_images/n411121.png,Does the backpack appear to be clean and blue?,yes,"Yes, the backpack is clean and blue.",Yes or No?  Yes.  No.  No.  Yes.  No.
n282607,/content/drive/MyDrive/mmml_project/gqa_images/n282607.png,What is the person behind the net playing with?,tennis ball,The man is playing with a tennis ball.,tennis balls?  No.  Tennis rackets?  No.  Tennis shoes?
n526228,/content/drive/MyDrive/mmml_project/gqa_images/n526228.png,Is there a lamp in this picture that is large?,yes,"Yes, there is a lamp that is large.","Yes, there is a lamp in this image."
n356822,/content/drive/MyDrive/mmml_project/gqa_images/n356822.png,Is the girl to the right of the man happy and old?,no,"No, the girl is happy but young.","No. 
The girl is young and smiling. 
The man is old and"
n556604,/content/drive/MyDrive/mmml_project/gqa_images/n556604.png,Is the woman near the man standing on the bricks?,yes,"Yes, the woman is standing on the bricks.","No, the woman is standing near the man on the sidewalk. The man is on a"
n556604,/content/drive/MyDrive/mmml_project/gqa_images/n556604.png,The woman near the man is standing on what?,bricks,The woman is standing on the bricks.,"A skateboard.

A chair.

A table.

A bench"
n411121,/content/drive/MyDrive/mmml_project/gqa_images/n411121.png,How is the animal that is in the backpack called?,dog,The animal is a dog.,"A dog.
B corgi.
C pug.
D bulldog."
n79078,/content/drive/MyDrive/mmml_project/gqa_images/n79078.png,What material is the stop sign on top of the pole made of?,metal,The stop sign is made of metal.,"metal?
No, the stop sign is made of red plastic."
n49310,/content/drive/MyDrive/mmml_project/gqa_images/n49310.png,Is the person to the left of the glasses wearing jeans?,yes,"Yes, the man is wearing jeans.",Yes or No. Yes.  No.  No.  Yes.  No.  No
n508641,/content/drive/MyDrive/mmml_project/gqa_images/n508641.png,What is the person on top of the field holding?,bat,The man is holding the bat.,a bat? 2 baseballs? 3 gloves? 4 helmets? 5 cleats
n513100,/content/drive/MyDrive/mmml_project/gqa_images/n513100.png,What is the yard in front of?,tree,The yard is in front of the tree.,2 trees? 3 trees? 4 trees? 5 trees? 6 trees?
n508641,/content/drive/MyDrive/mmml_project/gqa_images/n508641.png,What is the man holding?,bat,The man is holding the bat.,a bat? 2 baseballs? 3 baseballs? 4 baseballs? 5
n49310,/content/drive/MyDrive/mmml_project/gqa_images/n49310.png,What's the man sitting on?,bench,The man is sitting on the bench.,a bench?  Yes.  No.  No.  Yes.  No.  No
n470131,/content/drive/MyDrive/mmml_project/gqa_images/n470131.png,On which side of the picture is the small bottle?,right,The bottle is on the right of the image.,On the right side of the picture.  On the left side of the picture.  On
n429961,/content/drive/MyDrive/mmml_project/gqa_images/n429961.png,What kind of food is not round?,broccoli,The food is broccoli.,"Broccoli.
Broccoli is round.
Broccoli is not round.
Broccoli is"
n66756,/content/drive/MyDrive/mmml_project/gqa_images/n66756.png,What is the batter standing beside of?,home plate,The batter is standing beside the home plate.,"The catcher or the umpire? 
Answer: Umpire. 
Answer"
n335542,/content/drive/MyDrive/mmml_project/gqa_images/n335542.png,What is filled with bird?,sky,The sky is filled with bird.,- Picture.
n199097,/content/drive/MyDrive/mmml_project/gqa_images/n199097.png,Is the coat comfortable?,yes,"Yes, the coat is comfortable.","No.

Is the coat warm?

Yes.

Is the coat"
n433532,/content/drive/MyDrive/mmml_project/gqa_images/n433532.png,Is the robe red and smooth?,yes,"Yes, the robe is red and smooth.","No, the robe is red and wrinkled.

Is the robe short?"
n260521,/content/drive/MyDrive/mmml_project/gqa_images/n260521.png,Is that car silver?,no,"No, the car is dark.","No.
Is that car black? No.
Is that car white? No.
Is"
n437064,/content/drive/MyDrive/mmml_project/gqa_images/n437064.png,Does the plate look white?,yes,"Yes, the plate is white.",Yes it does.
n118102,/content/drive/MyDrive/mmml_project/gqa_images/n118102.png,Who is sitting?,girl,The girl is sitting.,a woman. 2. 3. 4. 5. 6. 7
n470920,/content/drive/MyDrive/mmml_project/gqa_images/n470920.png,Do the striped pants appear to be black and white?,yes,"Yes, the trousers are black and white.","Yes, the striped pants are black and white."
n54180,/content/drive/MyDrive/mmml_project/gqa_images/n54180.png,Which side of the image is the cup on?,right,The cup is on the right of the image.,"Left or right?
Answer: Right."
n119886,/content/drive/MyDrive/mmml_project/gqa_images/n119886.png,Does the toilet look brown?,yes,"Yes, the toilet is brown.",Yes it does.
n222915,/content/drive/MyDrive/mmml_project/gqa_images/n222915.png,What does the mug sit on?,mat,The mug sits on the mat.,"A plate. 

The plate has broccoli and apple slices on it. 

The"
n209843,/content/drive/MyDrive/mmml_project/gqa_images/n209843.png,Does the door look black?,no,"No, the door is white.","No the door is not black. 

The door is silver. 

The door"
n470920,/content/drive/MyDrive/mmml_project/gqa_images/n470920.png,Is the jacket gray and bright?,no,"No, the jacket is bright but red.",No.  It is red.  No.  It is black.  No.  It
n414992,/content/drive/MyDrive/mmml_project/gqa_images/n414992.png,Does the sunny beach look bright?,yes,"Yes, the beach is bright.",Yes or No?  Yes.  No.  No.  Yes.  No.
n285391,/content/drive/MyDrive/mmml_project/gqa_images/n285391.png,What kind of furniture is wooden?,chair,The furniture is a chair.,Chair?  Table?  Rug?  Floor?  Wall?  Window?
n285391,/content/drive/MyDrive/mmml_project/gqa_images/n285391.png,What kind of furniture is made of wood?,chair,The furniture is a chair.,Chair?  Table?  Rug?  Floor?  Wall?  Window?
n414992,/content/drive/MyDrive/mmml_project/gqa_images/n414992.png,Does the man that is to the left of the other man seem to be standing?,yes,"Yes, the man is standing.","If so, why? 
 If not, why? 
 If so, why? 
 If"
n69237,/content/drive/MyDrive/mmml_project/gqa_images/n69237.png,Which kind of furniture is black?,bookcase,The furniture is a bookcase.,the bed? Yes. The bed is black.
n69237,/content/drive/MyDrive/mmml_project/gqa_images/n69237.png,What is the black item of furniture?,bookcase,The piece of furniture is a bookcase.,a bed? a chair? a table? a desk? a sofa? a bedside table
n285391,/content/drive/MyDrive/mmml_project/gqa_images/n285391.png,What is the old piece of furniture in the photo?,chair,The piece of furniture is a chair.,Chair?  Or table?  Or something else?  Answer: Chair.  Answer:
n579928,/content/drive/MyDrive/mmml_project/gqa_images/n579928.png,Where are the grouped people standing on?,grass,The people are standing on the grass.,"A field.
B fence.
C grass.
D trailer.
E truck."
n513100,/content/drive/MyDrive/mmml_project/gqa_images/n513100.png,Is that a small fence?,yes,"Yes, that is a small fence.",Yes it is.  It is a lattice fence.  It is made of wood.
n313060,/content/drive/MyDrive/mmml_project/gqa_images/n313060.png,"Which color is the bag that is made of leather, tan or purple?",tan,The purse is tan.,Purple.
n310828,/content/drive/MyDrive/mmml_project/gqa_images/n310828.png,Is the mouse pad to the right of her both clean and large?,no,"No, the mousepad is clean but small.","No, the mouse pad is dirty and small.
No, the mouse pad is dirty and"
n199097,/content/drive/MyDrive/mmml_project/gqa_images/n199097.png,Does the hat have a different color than the jacket?,no,"No, both the hat and the jacket are black.",No.
n278312,/content/drive/MyDrive/mmml_project/gqa_images/n278312.png,Does the knife in the knife block have black color and short length?,no,"No, the knife is black but long.",Yes or No?  Answer: No.  Answer: Yes.  Answer: No.
n199097,/content/drive/MyDrive/mmml_project/gqa_images/n199097.png,Is the color of the sidewalk different than the street sign?,yes,"Yes, the street sign is red and the sidewalk is black.","No, the color of the sidewalk is the same as the street sign."
n262920,/content/drive/MyDrive/mmml_project/gqa_images/n262920.png,What are the doors made of?,wood,The doors are made of wood.,2015000000000000000
n117888,/content/drive/MyDrive/mmml_project/gqa_images/n117888.png,Does the fence in front of the bench look tall and gray?,yes,"Yes, the fence is tall and gray.","Yes. 
  No. 
  Yes, but it's not very tall."
n130638,/content/drive/MyDrive/mmml_project/gqa_images/n130638.png,What color is the girl that is sitting down?,blond,The girl is blond.,"Yellow.
The girl is wearing a yellow hat.
The girl is wearing a blue shirt"
n579256,/content/drive/MyDrive/mmml_project/gqa_images/n579256.png,Does this fridge look wide and new?,yes,"Yes, the fridge is wide and new.",Yes or No?  Yes.  No.  No.  Yes.  No.
n578564,/content/drive/MyDrive/mmml_project/gqa_images/n578564.png,What is the color of the flower pot?,light blue,The flower pot is light blue.,Black.
n116329,/content/drive/MyDrive/mmml_project/gqa_images/n116329.png,Who do you think is in front of the door made of wood?,man,The man is in front of the door.,A man or a woman?  Why?  Because it is a woman.  The woman is
n200692,/content/drive/MyDrive/mmml_project/gqa_images/n200692.png,Is there a tomato in this photo?,no,"No, there are no tomatoes.",No.  There is no tomato in this photo.  There is no tomato in this photo
n222297,/content/drive/MyDrive/mmml_project/gqa_images/n222297.png,Is the frisbee above the pool both round and white?,no,"No, the frisbee is round but blue.",Yes.  No.  Unanswerable.  Answer: No.  Answer: Yes.
n140421,/content/drive/MyDrive/mmml_project/gqa_images/n140421.png,Is the sink dirty and gray?,no,"No, the sink is gray but clean.",No.  It is blue.  It is stainless steel.  It is not dirty.
n293477,/content/drive/MyDrive/mmml_project/gqa_images/n293477.png,Which kind of bag is it?,purse,The bag is a purse.,A green one.
n131634,/content/drive/MyDrive/mmml_project/gqa_images/n131634.png,Are there both a helmet and a motorcycle in the image?,no,"No, there is a motorcycle but no helmets.","No, there is only a motorcycle in the image."
n131634,/content/drive/MyDrive/mmml_project/gqa_images/n131634.png,Is the large vehicle to the right or to the left of the vehicle that is parked along the street?,left,The van is to the left of the car.,"Answer: Left.
Answer: Right.
Answer: Left.
Answer: Right."
n293477,/content/drive/MyDrive/mmml_project/gqa_images/n293477.png,Which kind of bag is green?,purse,The bag is a purse.,a handbag? 2.0? 3.0? 4.0?
n181210,/content/drive/MyDrive/mmml_project/gqa_images/n181210.png,"How does the fruit in front of the cup look, unpeeled or peeled?",unpeeled,The orange is unpeeled.,Peeled.
n274905,/content/drive/MyDrive/mmml_project/gqa_images/n274905.png,What is the color of the shorts?,black,The shorts are black.,"Black.
Black and white.
Black and red.
Black and yellow.
Black"
n162586,/content/drive/MyDrive/mmml_project/gqa_images/n162586.png,What is the color of the television?,gray,The television is gray.,"Black.

The television is black.

The television is black."
n204894,/content/drive/MyDrive/mmml_project/gqa_images/n204894.png,Does the shirt have the same color as the chair?,yes,"Yes, both the shirt and the chair are white.",No.
n250715,/content/drive/MyDrive/mmml_project/gqa_images/n250715.png,Are the words large and black?,no,"No, the words are large but gold.","TR commanding officer. 797. 
No. 
The words are not"
n146522,/content/drive/MyDrive/mmml_project/gqa_images/n146522.png,Does the bag to the left of the boy look black?,yes,"Yes, the bag is black.",Yes or No. No. 2. 3. 4. 5. 6
n160664,/content/drive/MyDrive/mmml_project/gqa_images/n160664.png,Is there a woman that is not young?,yes,"Yes, there is a old woman.","Yes, there is a woman."
n16656,/content/drive/MyDrive/mmml_project/gqa_images/n16656.png,What is in front of the animal that is in front of the man?,shoe,The shoe is in front of the cat.,a shoe? 2 shoes? 3 shoes? 4 shoes? 5 shoes?
n222915,/content/drive/MyDrive/mmml_project/gqa_images/n222915.png,What vegetable is sitting on the plate?,broccoli,The vegetable is broccoli.,"broccoli?

Yes it is. 

The broccoli is green and has a stem."
n342511,/content/drive/MyDrive/mmml_project/gqa_images/n342511.png,How old is the person that the jacket is worn around?,old,The man is old.,10 years? 20 years? 30 years? 40 years?
n90294,/content/drive/MyDrive/mmml_project/gqa_images/n90294.png,What material is the calculator that is to the right of the charger made of?,plastic,The calculator is made of plastic.,Calculators are typically made of plastic. The calculator on the right is made of metal.
n90294,/content/drive/MyDrive/mmml_project/gqa_images/n90294.png,Are both the device next to the book and the calculator made of plastic?,yes,"Yes, both the remote and the calculator are made of plastic.","Answer: Yes.
Answer: Yes.
Answer: Yes.
Answer: Yes."
n518912,/content/drive/MyDrive/mmml_project/gqa_images/n518912.png,Are the cups made of plastic or porcelain?,porcelain,The cups are made of porcelain.,"The cups are made of porcelain.

The cups are made of plastic."
n518912,/content/drive/MyDrive/mmml_project/gqa_images/n518912.png,What is located on top of the table?,cups,The cups are on top of the table.,"a bottle of water?
a glass?
a cup?
a plate?
a fork"
n16656,/content/drive/MyDrive/mmml_project/gqa_images/n16656.png,What's in front of the cat?,shoe,The shoe is in front of the cat.,a pair of shoes?  yes.  no.  unanswerable.  yes.
n279173,/content/drive/MyDrive/mmml_project/gqa_images/n279173.png,What is in front of the building the sky is above?,street sign,The street sign is in front of the building.,"a tennis court. 
 915 the boat. 
 915 the boat."
n279173,/content/drive/MyDrive/mmml_project/gqa_images/n279173.png,What is in front of the building?,street sign,The street sign is in front of the building.,a large banner? 915? 915? 915?
n315887,/content/drive/MyDrive/mmml_project/gqa_images/n315887.png,Which kind of device is reflective?,monitor,The device is a monitor.,"the monitor or the keyboard?

Answer: keyboard."
n412144,/content/drive/MyDrive/mmml_project/gqa_images/n412144.png,Is the shirt short sleeved or long sleeved?,short sleeved,The shirt is short sleeved.,"The shirt is short sleeved.
The shirt is long sleeved.
The shirt is"
n379991,/content/drive/MyDrive/mmml_project/gqa_images/n379991.png,What kind of cooking utensil is on top of the table?,baking pan,The cooking utensil is a baking pan.,a pie plate? 2? 3? 4? 5? 6?
n435808,/content/drive/MyDrive/mmml_project/gqa_images/n435808.png,Does the router that is to the left of the chair look rectangular and black?,no,"No, the router is rectangular but white.","Yes.
Does the router that is to the right of the chair look rectangular and black? Yes"
n531731,/content/drive/MyDrive/mmml_project/gqa_images/n531731.png,Does the helmet have blue color?,yes,"Yes, the helmet is blue.",Yes or no? Answer: Yes.
n455563,/content/drive/MyDrive/mmml_project/gqa_images/n455563.png,Is the mug to the left of a plate?,no,"No, the mug is to the left of the mirror.","No.

Yes.

No.

Yes.

No."
n296467,/content/drive/MyDrive/mmml_project/gqa_images/n296467.png,What shape does the food the cupcakes are to the left of have?,triangular,The rice has triangular shape.,3D? 2D? 4D? 5D? 6D?
n406334,/content/drive/MyDrive/mmml_project/gqa_images/n406334.png,Is the bus near the people black and small?,no,"No, the bus is black but large.","No.
Is the bus near the people large?
Yes.
Is the bus near"
n279581,/content/drive/MyDrive/mmml_project/gqa_images/n279581.png,Do the shoes look black or pink?,black,The shoes are black.,"The shoes are black.
Do the shoes look black or white?  The shoes are black"
n290409,/content/drive/MyDrive/mmml_project/gqa_images/n290409.png,What is the mirror made of?,metal,The mirror is made of metal.,"- glass
- plastic
- metal
- wood
- none of the above
Answer"
n275148,/content/drive/MyDrive/mmml_project/gqa_images/n275148.png,What type of furniture is to the right of the device that is on top of the TV stand?,couch,The piece of furniture is a couch.,a couch? 2nd option? 3rd option? 4th option? 5
n140421,/content/drive/MyDrive/mmml_project/gqa_images/n140421.png,Is the chandelier to the left of the clock made of metal or glass?,metal,The chandelier is made of metal.,"Answer: Metal 
Answer: Metal 
Answer: Metal 
Answer: Metal"
n429961,/content/drive/MyDrive/mmml_project/gqa_images/n429961.png,Are there any fruits or toilets?,no,"No, there are no fruits or toilets.","No, there are no toilets.
No, there are no toilets.
No, there"
n262920,/content/drive/MyDrive/mmml_project/gqa_images/n262920.png,The black backpack is hanging on what?,doors,The backpack is hanging on the doors.,The wall? The door? The table? The person? The man is standing in front of a
n526228,/content/drive/MyDrive/mmml_project/gqa_images/n526228.png,Is the man that is looking down wearing a uniform?,no,"No, the man is wearing a shoe.","No.
Is the man that is looking down wearing a shirt? Yes.
Is the"
n531731,/content/drive/MyDrive/mmml_project/gqa_images/n531731.png,What color is the wood bench?,gray,The bench is gray.,tan? brown? white? gray? black? red? blue? green? orange? yellow?
n111390,/content/drive/MyDrive/mmml_project/gqa_images/n111390.png,What do you think is the old lady wearing?,coat,The lady is wearing a coat.,1. 2. 3. 4. 5. 6. 7
n6309,/content/drive/MyDrive/mmml_project/gqa_images/n6309.png,Are there any horses in front of the white fence?,no,"No, the horse is behind the fence.","2. Are there any horses in the back of the white fence? 
 3."
n95313,/content/drive/MyDrive/mmml_project/gqa_images/n95313.png,Which color is the bed that the closet is behind of?,yellow,The bed is yellow.,Blue.
n151768,/content/drive/MyDrive/mmml_project/gqa_images/n151768.png,To what is the barrier made of metal mounted?,shop,The barrier is mounted to the shop.,to the buildings? to the tents? to the street? to the sidewalk? to the sidewalk?
n39114,/content/drive/MyDrive/mmml_project/gqa_images/n39114.png,What's the mound in front of?,grass,The mound is in front of the grass.,a baseball diamond?  no.  grass.  no.  a building? no.
n551964,/content/drive/MyDrive/mmml_project/gqa_images/n551964.png,Who is walking next to the boy on the left of the picture?,girl,The girl is walking next to the boy.,Woman?  Man?  Both?  None?  Answer: Woman.  Answer:
n455563,/content/drive/MyDrive/mmml_project/gqa_images/n455563.png,Is there any mug in the bathroom?,yes,"Yes, there is a mug in the bathroom.","Yes, there is a mug in the bathroom."
n279581,/content/drive/MyDrive/mmml_project/gqa_images/n279581.png,Are both the helmet and the bat made of the same material?,no,"No, the helmet is made of plastic and the bat is made of wood.",
n278312,/content/drive/MyDrive/mmml_project/gqa_images/n278312.png,What appliance is to the left of the light brown object on the counter?,stove,The appliance is a stove.,"a toaster?
Yes. 2. 3. 4. 5."
n278312,/content/drive/MyDrive/mmml_project/gqa_images/n278312.png,Is the stove to the left of a drawer?,no,"No, the stove is to the left of a toaster.","Yes, the stove is to the left of a drawer.

The stove is to"
n35676,/content/drive/MyDrive/mmml_project/gqa_images/n35676.png,Are the drawers underneath the countertop?,yes,"Yes, the drawers are underneath the countertop.","Yes, there are drawers underneath the countertop."
n570181,/content/drive/MyDrive/mmml_project/gqa_images/n570181.png,Who is in front of the person that is crouching?,catcher,The catcher is in front of the umpire.,a baseball player? a catcher? a batter? a pitcher? a manager? a coach?
n35676,/content/drive/MyDrive/mmml_project/gqa_images/n35676.png,What kind of furniture is underneath the countertop?,drawers,The pieces of furniture are drawers.,"cabinets?

A: Yes."
n207893,/content/drive/MyDrive/mmml_project/gqa_images/n207893.png,Does the brown grass look tall?,yes,"Yes, the grass is tall.",5 zebras are grazing in the field. 2 zebras are standing in the field.
n538039,/content/drive/MyDrive/mmml_project/gqa_images/n538039.png,"Which color is the frisbee, red or yellow?",red,The frisbee is red.,The frisbee is purple.
n538039,/content/drive/MyDrive/mmml_project/gqa_images/n538039.png,What is about to hit the green grass?,frisbee,The frisbee is about to hit the grass.,a frisbee? 2 people? 3 people? 4 people? 5 people
n88933,/content/drive/MyDrive/mmml_project/gqa_images/n88933.png,Which kind of clothing is pink?,gown,The clothing is a gown.,"the dress or the shorts?
The dress is pink.
The shorts are pink.
The"
n538039,/content/drive/MyDrive/mmml_project/gqa_images/n538039.png,What is the frisbee about to hit?,grass,The frisbee is about to hit the grass.,"A man.

A woman.

A car.

A tree."
n413002,/content/drive/MyDrive/mmml_project/gqa_images/n413002.png,The short sleeved shirt is what color?,pink,The shirt is pink.,Canon EOS 20D F8.0 1/15s
n531359,/content/drive/MyDrive/mmml_project/gqa_images/n531359.png,Are the trees behind the young boy?,yes,"Yes, the trees are behind the boy.",Yes or no?  No.  Yes.  No.  Yes.  No.
n207893,/content/drive/MyDrive/mmml_project/gqa_images/n207893.png,Are there any bicycles?,no,"No, there are no bicycles.",No. 5. 6. 7. 8. 9. 10
n65885,/content/drive/MyDrive/mmml_project/gqa_images/n65885.png,What are the shelves made of?,metal,The shelves are made of metal.,wood? metal? plastic? glass? 3d printer? 4d printer? 5
